tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,4,rook,96263,Black,1200
8,4,rook,237624,Black,1400
8,4,rook,269654,Black,1600
8,4,rook,152956,Black,1800
8,4,rook,50450,Black,2000
8,4,rook,11187,Black,2200
8,4,rook,1047,Black,2400
8,4,rook,109,Black,2600
8,4,rook,190,White,800
8,4,rook,4165,White,1000
8,4,rook,23945,White,1200
8,4,rook,54499,White,1400
8,4,rook,57891,White,1600
8,4,rook,32383,White,1800
8,4,rook,10797,White,2000
8,4,rook,2246,White,2200
8,4,rook,188,White,2400
8,4,rook,22,White,2600
8,5,bishop,28,Black,800
8,5,bishop,672,Black,1000
8,5,bishop,4496,Black,1200
8,5,bishop,13503,Black,1400
8,5,bishop,17852,Black,1600
8,5,bishop,10675,Black,1800
8,5,bishop,3531,Black,2000
8,5,bishop,840,Black,2200
8,5,bishop,50,Black,2400
8,5,bishop,1,Black,2600
8,5,bishop,26,White,800
8,5,bishop,590,White,1000
8,5,bishop,2727,White,1200
8,5,bishop,6311,White,1400
8,5,bishop,6947,White,1600
8,5,bishop,4098,White,1800
8,5,bishop,1285,White,2000
8,5,bishop,317,White,2200
8,5,bishop,25,White,2400
8,5,bishop,2,White,2600
8,5,king,341,Black,800
8,5,king,5566,Black,1000
8,5,king,26093,Black,1200
8,5,king,52498,Black,1400
8,5,king,50629,Black,1600
8,5,king,26718,Black,1800
8,5,king,8664,Black,2000
8,5,king,1727,Black,2200
8,5,king,151,Black,2400
8,5,king,15,Black,2600
8,5,king,10,White,800
8,5,king,265,White,1000
8,5,king,1249,White,1200
8,5,king,2616,White,1400
8,5,king,3021,White,1600
8,5,king,1699,White,1800
8,5,king,644,White,2000
8,5,king,144,White,2200
8,5,king,13,White,2400
8,5,king,3,White,2600
8,5,knight,36,Black,800
8,5,knight,700,Black,1000
8,5,knight,4745,Black,1200
8,5,knight,14510,Black,1400
8,5,knight,19741,Black,1600
8,5,knight,12867,Black,1800
8,5,knight,4726,Black,2000
8,5,knight,1149,Black,2200
8,5,knight,102,Black,2400
8,5,knight,8,Black,2600
8,5,knight,39,White,800
8,5,knight,717,White,1000
8,5,knight,3627,White,1200
8,5,knight,7668,White,1400
8,5,knight,7931,White,1600
8,5,knight,4444,White,1800
8,5,knight,1475,White,2000
8,5,knight,303,White,2200
8,5,knight,28,White,2400
8,5,knight,2,White,2600
8,5,pawn,29,White,800
8,5,pawn,450,White,1000
8,5,pawn,2267,White,1200
8,5,pawn,5168,White,1400
8,5,pawn,5672,White,1600
8,5,pawn,3238,White,1800
8,5,pawn,1169,White,2000
8,5,pawn,240,White,2200
8,5,pawn,20,White,2400
8,5,pawn,1,White,2600
8,5,queen,131,Black,800
8,5,queen,2010,Black,1000
8,5,queen,11828,Black,1200
8,5,queen,30287,Black,1400
8,5,queen,36310,Black,1600
8,5,queen,19463,Black,1800
8,5,queen,6036,Black,2000
8,5,queen,1328,Black,2200
8,5,queen,106,Black,2400
8,5,queen,11,Black,2600
8,5,queen,121,White,800
8,5,queen,2085,White,1000
8,5,queen,9921,White,1200
8,5,queen,20959,White,1400
8,5,queen,21216,White,1600
8,5,queen,10902,White,1800
8,5,queen,3341,White,2000
8,5,queen,761,White,2200
8,5,queen,66,White,2400
8,5,queen,4,White,2600
8,5,rook,835,Black,800
8,5,rook,18036,Black,1000
8,5,rook,109489,Black,1200
8,5,rook,260705,Black,1400
8,5,rook,280527,Black,1600
8,5,rook,150119,Black,1800
8,5,rook,47743,Black,2000
8,5,rook,10601,Black,2200
8,5,rook,951,Black,2400
8,5,rook,77,Black,2600
8,5,rook,148,White,800
8,5,rook,3619,White,1000
8,5,rook,22295,White,1200
8,5,rook,49444,White,1400
8,5,rook,51154,White,1600
8,5,rook,27097,White,1800
8,5,rook,8494,White,2000
8,5,rook,1767,White,2200
8,5,rook,161,White,2400
8,5,rook,14,White,2600
8,6,bishop,65,Black,800
8,6,bishop,1308,Black,1000
8,6,bishop,8256,Black,1200
8,6,bishop,24034,Black,1400
8,6,bishop,33215,Black,1600
8,6,bishop,22922,Black,1800
8,6,bishop,8756,Black,2000
8,6,bishop,2310,Black,2200
8,6,bishop,210,Black,2400
8,6,bishop,16,Black,2600
8,6,bishop,64,White,800
8,6,bishop,1232,White,1000
8,6,bishop,6463,White,1200
