tosquarerank,tosquarefile,piece,COUNT(*),turn,avgrating
8,6,knight,22955,Black,1600
8,6,knight,16440,Black,1800
8,6,knight,6160,Black,2000
8,6,knight,1406,Black,2200
8,6,knight,120,Black,2400
8,6,knight,7,Black,2600
8,6,knight,54,White,800
8,6,knight,1056,White,1000
8,6,knight,5295,White,1200
8,6,knight,12024,White,1400
8,6,knight,12815,White,1600
8,6,knight,6339,White,1800
8,6,knight,1825,White,2000
8,6,knight,362,White,2200
8,6,knight,33,White,2400
8,6,knight,4,White,2600
8,6,pawn,27,White,800
8,6,pawn,554,White,1000
8,6,pawn,2586,White,1200
8,6,pawn,5528,White,1400
8,6,pawn,5782,White,1600
8,6,pawn,3313,White,1800
8,6,pawn,1253,White,2000
8,6,pawn,258,White,2200
8,6,pawn,27,White,2400
8,6,queen,87,Black,800
8,6,queen,1315,Black,1000
8,6,queen,7797,Black,1200
8,6,queen,20953,Black,1400
8,6,queen,22975,Black,1600
8,6,queen,11985,Black,1800
8,6,queen,3727,Black,2000
8,6,queen,799,Black,2200
8,6,queen,63,Black,2400
8,6,queen,12,Black,2600
8,6,queen,101,White,800
8,6,queen,1811,White,1000
8,6,queen,8135,White,1200
8,6,queen,16376,White,1400
8,6,queen,15701,White,1600
8,6,queen,7870,White,1800
8,6,queen,2354,White,2000
8,6,queen,483,White,2200
8,6,queen,42,White,2400
8,6,queen,2,White,2600
8,6,rook,400,Black,800
8,6,rook,8559,Black,1000
8,6,rook,49702,Black,1200
8,6,rook,123890,Black,1400
8,6,rook,131577,Black,1600
8,6,rook,65718,Black,1800
8,6,rook,19758,Black,2000
8,6,rook,4229,Black,2200
8,6,rook,348,Black,2400
8,6,rook,32,Black,2600
8,6,rook,100,White,800
8,6,rook,2233,White,1000
8,6,rook,13245,White,1200
8,6,rook,34164,White,1400
8,6,rook,38179,White,1600
8,6,rook,19550,White,1800
8,6,rook,5780,White,2000
8,6,rook,1203,White,2200
8,6,rook,85,White,2400
8,6,rook,6,White,2600
8,7,bishop,8,Black,800
8,7,bishop,154,Black,1000
8,7,bishop,740,Black,1200
8,7,bishop,2139,Black,1400
8,7,bishop,2858,Black,1600
8,7,bishop,1735,Black,1800
8,7,bishop,658,Black,2000
8,7,bishop,168,Black,2200
8,7,bishop,12,Black,2400
8,7,bishop,44,White,800
8,7,bishop,862,White,1000
8,7,bishop,3351,White,1200
8,7,bishop,5868,White,1400
8,7,bishop,5188,White,1600
8,7,bishop,2529,White,1800
8,7,bishop,779,White,2000
8,7,bishop,173,White,2200
8,7,bishop,7,White,2400
8,7,king,1286,Black,800
8,7,king,30071,Black,1000
8,7,king,196760,Black,1200
8,7,king,509028,Black,1400
8,7,king,567386,Black,1600
8,7,king,304924,Black,1800
8,7,king,94443,Black,2000
8,7,king,20082,Black,2200
8,7,king,1744,Black,2400
8,7,king,166,Black,2600
8,7,king,25,White,800
8,7,king,279,White,1000
8,7,king,1468,White,1200
8,7,king,3338,White,1400
8,7,king,3499,White,1600
8,7,king,2011,White,1800
8,7,king,790,White,2000
8,7,king,157,White,2200
8,7,king,21,White,2400
8,7,king,3,White,2600
8,7,knight,56,Black,800
8,7,knight,872,Black,1000
8,7,knight,4700,Black,1200
8,7,knight,11774,Black,1400
8,7,knight,12803,Black,1600
8,7,knight,7049,Black,1800
8,7,knight,2325,Black,2000
8,7,knight,464,Black,2200
8,7,knight,36,Black,2400
8,7,knight,3,Black,2600
8,7,knight,16,White,800
8,7,knight,279,White,1000
8,7,knight,1247,White,1200
8,7,knight,2590,White,1400
8,7,knight,2312,White,1600
8,7,knight,1091,White,1800
8,7,knight,331,White,2000
8,7,knight,65,White,2200
8,7,knight,8,White,2400
8,7,knight,1,White,2600
8,7,pawn,26,White,800
8,7,pawn,525,White,1000
8,7,pawn,2581,White,1200
8,7,pawn,5848,White,1400
8,7,pawn,5973,White,1600
8,7,pawn,3448,White,1800
8,7,pawn,1263,White,2000
8,7,pawn,256,White,2200
8,7,pawn,21,White,2400
8,7,queen,26,Black,800
8,7,queen,451,Black,1000
8,7,queen,2500,Black,1200
8,7,queen,6232,Black,1400
8,7,queen,6150,Black,1600
8,7,queen,3109,Black,1800
8,7,queen,962,Black,2000
8,7,queen,193,Black,2200
8,7,queen,14,Black,2400
8,7,queen,122,White,800
8,7,queen,1825,White,1000
8,7,queen,6867,White,1200
8,7,queen,12120,White,1400
8,7,queen,10527,White,1600
8,7,queen,5250,White,1800
8,7,queen,1769,White,2000
8,7,queen,320,White,2200
8,7,queen,21,White,2400
8,7,queen,2,White,2600
8,7,rook,404,Black,800
8,7,rook,7392,Black,1000
8,7,rook,39908,Black,1200
8,7,rook,92349,Black,1400
8,7,rook,89905,Black,1600
8,7,rook,43060,Black,1800
8,7,rook,12940,Black,2000
8,7,rook,2862,Black,2200
8,7,rook,205,Black,2400
8,7,rook,12,Black,2600
8,7,rook,66,White,800
8,7,rook,1300,White,1000
8,7,rook,7350,White,1200
8,7,rook,17446,White,1400
8,7,rook,18308,White,1600
8,7,rook,9905,White,1800
8,7,rook,3314,White,2000
8,7,rook,792,White,2200
8,7,rook,62,White,2400
8,7,rook,3,White,2600
8,8,bishop,20,Black,800
8,8,bishop,279,Black,1000
8,8,bishop,1669,Black,1200
8,8,bishop,4733,Black,1400
8,8,bishop,5913,Black,1600
8,8,bishop,4039,Black,1800
8,8,bishop,1266,Black,2000
8,8,bishop,326,Black,2200
8,8,bishop,39,Black,2400
8,8,bishop,4,Black,2600
8,8,bishop,55,White,800
8,8,bishop,940,White,1000
8,8,bishop,3881,White,1200
8,8,bishop,6987,White,1400
8,8,bishop,5082,White,1600
8,8,bishop,2030,White,1800
8,8,bishop,505,White,2000
8,8,bishop,111,White,2200
8,8,bishop,17,White,2400
8,8,bishop,1,White,2600
8,8,king,216,Black,800
8,8,king,4831,Black,1000
8,8,king,35623,Black,1200
8,8,king,99044,Black,1400
8,8,king,112995,Black,1600
8,8,king,60289,Black,1800
8,8,king,18789,Black,2000
8,8,king,3865,Black,2200
8,8,king,299,Black,2400
8,8,king,24,Black,2600
8,8,king,11,White,800
8,8,king,194,White,1000
8,8,king,1002,White,1200
8,8,king,2148,White,1400
8,8,king,2302,White,1600
8,8,king,1328,White,1800
8,8,king,511,White,2000
8,8,king,103,White,2200
8,8,king,5,White,2400
8,8,king,2,White,2600
8,8,knight,3,Black,800
8,8,knight,78,Black,1000
8,8,knight,478,Black,1200
8,8,knight,1495,Black,1400
8,8,knight,1895,Black,1600
8,8,knight,1030,Black,1800
8,8,knight,283,Black,2000
8,8,knight,57,Black,2200
8,8,knight,9,Black,2400
8,8,knight,1,Black,2600
8,8,knight,73,White,800
8,8,knight,1545,White,1000
8,8,knight,5752,White,1200
8,8,knight,8682,White,1400
8,8,knight,5871,White,1600
8,8,knight,2251,White,1800
8,8,knight,618,White,2000
8,8,knight,105,White,2200
8,8,knight,5,White,2400
8,8,pawn,40,White,800
8,8,pawn,763,White,1000
8,8,pawn,3525,White,1200
8,8,pawn,7377,White,1400
8,8,pawn,7656,White,1600
8,8,pawn,4167,White,1800
8,8,pawn,1505,White,2000
8,8,pawn,340,White,2200
8,8,pawn,32,White,2400
8,8,pawn,1,White,2600
8,8,queen,13,Black,800
8,8,queen,392,Black,1000
8,8,queen,1871,Black,1200
8,8,queen,4310,Black,1400
8,8,queen,4228,Black,1600
8,8,queen,2106,Black,1800
8,8,queen,653,Black,2000
8,8,queen,147,Black,2200
8,8,queen,13,Black,2400
8,8,queen,1,Black,2600
8,8,queen,209,White,800
8,8,queen,3393,White,1000
8,8,queen,12293,White,1200
8,8,queen,19909,White,1400
8,8,queen,16275,White,1600
8,8,queen,7901,White,1800
8,8,queen,2430,White,2000
8,8,queen,462,White,2200
8,8,queen,24,White,2400
8,8,queen,6,White,2600
8,8,rook,100,Black,800
8,8,rook,2225,Black,1000
8,8,rook,14239,Black,1200
8,8,rook,37008,Black,1400
8,8,rook,39770,Black,1600
8,8,rook,20854,Black,1800
8,8,rook,6618,Black,2000
8,8,rook,1518,Black,2200
8,8,rook,117,Black,2400
