fromsquarerank,fromsquarefile,piece,COUNT(*),turn,avgrating
0,6,queen,1495,White,1200
0,6,queen,3736,White,1400
0,6,queen,3859,White,1600
0,6,queen,1958,White,1800
0,6,queen,680,White,2000
0,6,queen,170,White,2200
0,6,queen,9,White,2400
0,6,rook,37,Black,800
0,6,rook,745,Black,1000
0,6,rook,4084,Black,1200
0,6,rook,9796,Black,1400
0,6,rook,10499,Black,1600
0,6,rook,5913,Black,1800
0,6,rook,2022,Black,2000
0,6,rook,415,Black,2200
0,6,rook,51,Black,2400
0,6,rook,2,Black,2600
0,6,rook,260,White,800
0,6,rook,4390,White,1000
0,6,rook,23910,White,1200
0,6,rook,58524,White,1400
0,6,rook,59165,White,1600
0,6,rook,29699,White,1800
0,6,rook,9500,White,2000
0,6,rook,2083,White,2200
0,6,rook,178,White,2400
0,6,rook,5,White,2600
0,7,bishop,31,Black,800
0,7,bishop,488,Black,1000
0,7,bishop,1951,Black,1200
0,7,bishop,3420,Black,1400
0,7,bishop,2403,Black,1600
0,7,bishop,943,Black,1800
0,7,bishop,211,Black,2000
0,7,bishop,45,Black,2200
0,7,bishop,5,Black,2400
0,7,bishop,11,White,800
0,7,bishop,127,White,1000
0,7,bishop,596,White,1200
0,7,bishop,1669,White,1400
0,7,bishop,2298,White,1600
0,7,bishop,1568,White,1800
0,7,bishop,595,White,2000
0,7,bishop,166,White,2200
0,7,bishop,14,White,2400
0,7,bishop,7,White,2600
0,7,king,1,Black,800
0,7,king,95,Black,1000
0,7,king,573,Black,1200
0,7,king,1305,Black,1400
0,7,king,1331,Black,1600
0,7,king,777,Black,1800
0,7,king,275,Black,2000
0,7,king,67,Black,2200
0,7,king,2,Black,2400
0,7,king,113,White,800
0,7,king,2367,White,1000
0,7,king,19572,White,1200
0,7,king,56314,White,1400
0,7,king,68232,White,1600
0,7,king,36759,White,1800
0,7,king,11792,White,2000
0,7,king,2361,White,2200
0,7,king,184,White,2400
0,7,king,11,White,2600
0,7,knight,27,Black,800
0,7,knight,450,Black,1000
0,7,knight,1415,Black,1200
0,7,knight,1952,Black,1400
0,7,knight,1355,Black,1600
0,7,knight,571,Black,1800
0,7,knight,162,Black,2000
0,7,knight,30,Black,2200
0,7,knight,1,Black,2400
0,7,knight,2,White,800
0,7,knight,36,White,1000
0,7,knight,238,White,1200
0,7,knight,932,White,1400
0,7,knight,1349,White,1600
0,7,knight,685,White,1800
0,7,knight,231,White,2000
0,7,knight,60,White,2200
0,7,knight,4,White,2400
0,7,queen,171,Black,800
0,7,queen,2537,Black,1000
0,7,queen,9302,Black,1200
0,7,queen,15869,Black,1400
0,7,queen,13922,Black,1600
0,7,queen,6940,Black,1800
0,7,queen,2264,Black,2000
0,7,queen,484,Black,2200
0,7,queen,46,Black,2400
0,7,queen,1,Black,2600
0,7,queen,14,White,800
0,7,queen,236,White,1000
0,7,queen,1211,White,1200
0,7,queen,2630,White,1400
0,7,queen,2492,White,1600
0,7,queen,1332,White,1800
0,7,queen,429,White,2000
0,7,queen,118,White,2200
0,7,queen,10,White,2400
0,7,queen,1,White,2600
0,7,rook,60,Black,800
0,7,rook,1087,Black,1000
0,7,rook,5573,Black,1200
0,7,rook,12926,Black,1400
0,7,rook,13128,Black,1600
0,7,rook,7059,Black,1800
0,7,rook,2318,Black,2000
0,7,rook,507,Black,2200
0,7,rook,45,Black,2400
0,7,rook,2,Black,2600
0,7,rook,917,White,800
0,7,rook,15687,White,1000
0,7,rook,76569,White,1200
0,7,rook,157479,White,1400
0,7,rook,147681,White,1600
0,7,rook,73800,White,1800
0,7,rook,22912,White,2000
0,7,rook,5178,White,2200
0,7,rook,430,White,2400
0,7,rook,28,White,2600
1,0,bishop,35,Black,800
1,0,bishop,520,Black,1000
1,0,bishop,3015,Black,1200
1,0,bishop,6320,Black,1400
1,0,bishop,6592,Black,1600
1,0,bishop,3797,Black,1800
1,0,bishop,1276,Black,2000
1,0,bishop,280,Black,2200
1,0,bishop,20,Black,2400
1,0,bishop,1,Black,2600
1,0,bishop,8,White,800
1,0,bishop,350,White,1000
1,0,bishop,4214,White,1200
1,0,bishop,14478,White,1400
1,0,bishop,14004,White,1600
1,0,bishop,5606,White,1800
1,0,bishop,1436,White,2000
1,0,bishop,301,White,2200
1,0,bishop,21,White,2400
1,0,king,35,Black,800
1,0,king,449,Black,1000
1,0,king,2185,Black,1200
1,0,king,4472,Black,1400
1,0,king,4857,Black,1600
1,0,king,2661,Black,1800
1,0,king,972,Black,2000
1,0,king,234,Black,2200
