fromsquarerank,fromsquarefile,piece,COUNT(*),turn
7,2,bishop,9865,White
7,2,king,273700,Black
7,2,king,7869,White
7,2,knight,25601,Black
7,2,knight,11229,White
7,2,queen,87345,Black
7,2,queen,51320,White
7,2,rook,514442,Black
7,2,rook,57804,White
7,3,bishop,48441,Black
7,3,bishop,12702,White
7,3,king,175210,Black
7,3,king,7120,White
7,3,knight,34787,Black
7,3,knight,12245,White
7,3,queen,1890220,Black
7,3,queen,51181,White
7,3,rook,809904,Black
7,3,rook,70088,White
7,4,bishop,39708,Black
7,4,bishop,10313,White
7,4,king,2060845,Black
7,4,king,7251,White
7,4,knight,58921,Black
7,4,knight,10936,White
7,4,queen,97297,Black
7,4,queen,50800,White
7,4,rook,698024,Black
7,4,rook,61567,White
7,5,bishop,1353251,Black
7,5,bishop,11079,White
7,5,king,299411,Black
7,5,king,7604,White
7,5,knight,53432,Black
7,5,knight,9487,White
7,5,queen,51853,Black
7,5,queen,38991,White
7,5,rook,1401138,Black
7,5,rook,41104,White
7,6,bishop,5347,Black
7,6,bishop,8152,White
7,6,king,1117500,Black
7,6,king,9103,White
7,6,knight,910595,Black
7,6,knight,3506,White
7,6,queen,13241,Black
7,6,queen,36839,White
7,6,rook,198663,Black
7,6,rook,34743,White
7,7,bishop,11839,Black
7,7,bishop,10933,White
7,7,king,184338,Black
7,7,king,4947,White
7,7,knight,3801,Black
7,7,knight,11596,White
7,7,queen,9616,Black
7,7,queen,60554,White
7,7,rook,543846,Black
7,7,rook,45966,White
