tosquarerank,tosquarefile,piece,COUNT(*),turn,Skill
2,1,bishop,7470,Black,Bad
2,1,bishop,12926,Black,Good
2,1,bishop,38181,White,Bad
2,1,bishop,51341,White,Good
2,1,king,7669,Black,Bad
2,1,king,12553,Black,Good
2,1,king,17740,White,Bad
2,1,king,22773,White,Good
2,1,knight,12298,Black,Bad
2,1,knight,17256,Black,Good
2,1,knight,17442,White,Bad
2,1,knight,43386,White,Good
2,1,pawn,18412,Black,Bad
2,1,pawn,35765,Black,Good
2,1,pawn,98016,White,Bad
2,1,pawn,159725,White,Good
2,1,queen,9563,Black,Bad
2,1,queen,16407,Black,Good
2,1,queen,37298,White,Bad
2,1,queen,69946,White,Good
2,1,rook,13008,Black,Bad
2,1,rook,26873,Black,Good
2,1,rook,9603,White,Bad
2,1,rook,18237,White,Good
2,2,bishop,49825,Black,Bad
2,2,bishop,56942,Black,Good
2,2,bishop,29280,White,Bad
2,2,bishop,43002,White,Good
2,2,king,8725,Black,Bad
2,2,king,14190,Black,Good
2,2,king,24145,White,Bad
2,2,king,36085,White,Good
2,2,knight,29499,Black,Bad
2,2,knight,46252,Black,Good
2,2,knight,295142,White,Bad
2,2,knight,365747,White,Good
2,2,pawn,27745,Black,Bad
2,2,pawn,45616,Black,Good
2,2,pawn,165551,White,Bad
2,2,pawn,223836,White,Good
2,2,queen,23383,Black,Bad
2,2,queen,27288,Black,Good
2,2,queen,26661,White,Bad
2,2,queen,41109,White,Good
2,2,rook,17153,Black,Bad
2,2,rook,35784,Black,Good
2,2,rook,11549,White,Bad
2,2,rook,26787,White,Good
2,3,bishop,19270,Black,Bad
2,3,bishop,35801,Black,Good
2,3,bishop,103809,White,Bad
2,3,bishop,201982,White,Good
2,3,king,8649,Black,Bad
2,3,king,14002,Black,Good
2,3,king,33123,White,Bad
2,3,king,60321,White,Good
2,3,knight,32045,Black,Bad
2,3,knight,48450,Black,Good
2,3,knight,13825,White,Bad
2,3,knight,31223,White,Good
2,3,pawn,22579,Black,Bad
2,3,pawn,38515,Black,Good
2,3,pawn,133528,White,Bad
2,3,pawn,117132,White,Good
2,3,queen,18851,Black,Bad
2,3,queen,22873,Black,Good
2,3,queen,56791,White,Bad
2,3,queen,92990,White,Good
2,3,rook,19490,Black,Bad
2,3,rook,33201,Black,Good
2,3,rook,19095,White,Bad
2,3,rook,40259,White,Good
2,4,bishop,20356,Black,Bad
2,4,bishop,27636,Black,Good
2,4,bishop,100553,White,Bad
2,4,bishop,184204,White,Good
2,4,king,7952,Black,Bad
2,4,king,13316,Black,Good
2,4,king,39834,White,Bad
2,4,king,76390,White,Good
2,4,knight,28846,Black,Bad
2,4,knight,45311,Black,Good
2,4,knight,16733,White,Bad
2,4,knight,38573,White,Good
